"","stratum","area","trawlable.units"
"1",415,2625,64769
"2",416,3666,90456
"3",417,1804,44507
"4",418,1354,33402
"5",419,1522,37556
"6",420,2656,65532
"7",421,1130,27891
"8",422,4274,105461
"9",423,11033,272216
"10",424,3608,89015
"11",425,2165,53409
"12",426,1333,32893
"13",427,3268,80622
"14",428,694,17125
"15",429,5827,143780
"16",431,4876,120297
"17",432,1034,25518
"18",433,4082,100714
"19",434,4161,102664
"20",435,2196,54172
"21",436,3292,81215
"22",437,1701,41964
"23",438,577,14242
"24",439,1213,29926
